"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
2679,60,"RL",84,9660,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",242,"Gd","TA","PConc","Gd","TA","No","GLQ",791,"Unf",0,253,1044,"GasA","Ex","Y","SBrkr",1079,897,0,1976,1,0,2,1,3,1,"Gd",7,"Typ",1,"Ex","Attchd",1998,"Fin",3,885,"TA","TA","Y",210,31,0,0,0,0,"NA","NA","NA",0,2,2006,"WD","Normal","177862.778940605"
2680,60,"RL",83,9545,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",322,"Gd","TA","PConc","Gd","TA","Mn","GLQ",505,"Unf",0,655,1160,"GasA","Ex","Y","SBrkr",1205,1029,0,2234,1,0,2,1,3,1,"Gd",7,"Typ",1,"TA","BuiltIn",2000,"RFn",3,768,"TA","TA","Y",0,50,0,0,0,0,"NA","NA","NA",0,6,2006,"WD","Normal","182056.024744887"
2681,60,"RL","NA",9233,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",9,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",877,"Gd","TA","PConc","Ex","TA","Av","GLQ",1182,"Unf",0,358,1540,"GasA","Ex","Y","SBrkr",1540,1315,0,2855,1,0,2,1,4,1,"Ex",9,"Typ",1,"TA","Attchd",2000,"RFn",3,774,"TA","TA","Y",247,55,0,0,0,0,"NA","NA","NA",0,3,2006,"WD","Normal","191403.199177104"
2682,60,"RL",83,10019,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1995,1995,"Hip","CompShg","VinylSd","VinylSd","BrkFace",397,"Gd","TA","PConc","Gd","TA","No","ALQ",527,"Unf",0,815,1342,"GasA","Ex","Y","SBrkr",1358,1368,0,2726,0,0,2,1,4,1,"Gd",9,"Typ",1,"Ex","Attchd",1995,"RFn",3,725,"TA","TA","Y",307,169,168,0,0,0,"NA","NA","NA",0,6,2006,"WD","Normal","196264.754980043"
2683,60,"RL",114,17242,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",9,5,1993,1994,"Hip","CompShg","MetalSd","MetalSd","BrkFace",738,"Gd","Gd","PConc","Ex","TA","Gd","Rec",292,"GLQ",1393,48,1733,"GasA","Ex","Y","SBrkr",1933,1567,0,3500,1,0,3,1,4,1,"Ex",11,"Typ",1,"TA","Attchd",1993,"RFn",3,959,"TA","TA","Y",870,86,0,0,210,0,"NA","NA","NA",0,5,2006,"WD","Normal","209375.003419718"
2684,60,"RL","NA",10236,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","BrkFace",501,"Gd","TA","PConc","Gd","TA","Gd","GLQ",380,"BLQ",168,742,1290,"GasA","Ex","Y","SBrkr",1305,1189,0,2494,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1994,"Fin",3,803,"TA","TA","Y",200,95,0,0,0,0,"NA","GdPrv","NA",0,6,2006,"WD","Normal","196691.81930173"
2685,60,"RL","NA",12585,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1993,1993,"Gable","CompShg","HdBoard","ImStucc","BrkFace",420,"Gd","TA","PConc","Gd","TA","No","LwQ",247,"GLQ",1039,0,1286,"GasA","Ex","Y","SBrkr",1565,1234,0,2799,1,0,2,1,3,1,"Gd",8,"Typ",1,"TA","Attchd",1993,"Fin",3,704,"TA","TA","Y",432,136,0,0,0,0,"NA","NA","NA",0,10,2006,"WD","Normal","192458.431539585"
2686,60,"RL",75,12447,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Somerst","RRAn","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","CemntBd","CmentBd","Stone",192,"Gd","TA","PConc","Gd","Gd","No","Unf",0,"Unf",0,1100,1100,"GasA","Ex","Y","SBrkr",1116,848,0,1964,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","BuiltIn",2005,"Fin",2,760,"TA","TA","Y",200,70,0,0,0,0,"NA","NA","NA",0,1,2006,"New","Partial","182242.80926507"
2687,20,"RL",49,15218,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl","Somerst","RRAn","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","NA","NA","Gd","TA","PConc","Ex","Gd","No","GLQ",1562,"Unf",0,108,1670,"GasA","Ex","Y","SBrkr",1670,0,0,1670,1,0,2,1,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2006,"RFn",3,928,"TA","TA","Y",0,240,200,0,0,0,"NA","NA","NA",0,9,2006,"New","Partial","183259.503900506"
2688,20,"RL",85,10936,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Feedr","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",60,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1504,1504,"GasA","Ex","Y","SBrkr",1504,0,0,1504,0,0,2,0,3,1,"Gd",7,"Typ",0,"NA","Attchd",2006,"Fin",2,510,"TA","TA","Y",144,0,0,0,0,0,"NA","NA","NA",0,9,2006,"New","Partial","188108.243748841"
2689,20,"FV",72,8640,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1254,1278,"GasA","Ex","Y","SBrkr",1278,0,0,1278,0,0,2,0,2,1,"Gd",5,"Typ",0,"NA","Attchd",2006,"RFn",2,584,"TA","TA","Y",0,60,0,0,0,0,"NA","NA","NA",0,10,2006,"New","Partial","171418.640195797"
